data_estacao,id,hora_medicao,uf_medicao,estacao_nome,estacao_cod,temp_hora_celsius,temp_media_dia_celsius,maior_temp_dia_celsius,menor_temp_dia_celsius,precipitacao_media_dia_mm,umidade_relativa_ar_media_dia_procentagem,vento_velocidade_media_dia_m_por_s,vento_rajada_media_da_max_dia_m_por_s,latitude_medicao,longitude_medicao
2021-04-15,1722,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"20,81","34,4","-41,4","0,01","69,11","1,85","4,53",-20.909892,-47.114259
2020-02-11,1443,00:00,ES,VITORIA,A612,"26,2","22,32","37,7","-25,4","0,83","85,48","1,75","4,71",-20.270833,-40.305833
2020-06-17,4491,00:00,ES,VITORIA,A612,NULL,"18,43","30,4","-43,6","0,02","75,35","2,36","5,61",-20.270833,-40.305833
2020-06-12,4371,00:00,ES,VITORIA,A612,NULL,"21,11","34,2","-43,3",0,"68,81","1,12","2,87",-20.270833,-40.305833
2020-08-09,5763,00:00,ES,VITORIA,A612,NULL,"18,75","31,5",-47,0,"63,37","1,74","4,18",-20.270833,-40.305833
2020-10-29,7707,00:00,ES,VITORIA,A612,"26,7","24,27",37,"-29,4","0,13","67,72","1,98","5,11",-20.270833,-40.305833
2020-05-17,3747,00:00,ES,VITORIA,A612,NULL,"19,15","29,7","-36,7","0,08","77,94","1,16","3,08",-20.270833,-40.305833
2020-06-25,4683,00:00,ES,VITORIA,A612,NULL,"19,22","33,9","-41,2",0,"67,04","1,78","4,37",-20.270833,-40.305833
2020-12-21,195,00:00,MG,BURITIS,A544,"21,6","25,15","37,7","-15,6","0,11","74,09","1,82","4,74",-15.524167,-46.435556
2020-12-23,243,00:00,MG,BURITIS,A544,"19,5","22,73","34,5","-16,7","0,4","81,93","1,69","4,41",-15.524167,-46.435556
2020-07-03,4875,00:00,ES,VITORIA,A612,NULL,"17,76","33,3","-38,1","0,04","69,66","1,35","3,57",-20.270833,-40.305833
2020-08-26,6171,00:00,ES,VITORIA,A612,NULL,"17,13","32,4","-41,6",0,"57,14","2,17","5,16",-20.270833,-40.305833
2020-02-09,1395,00:00,ES,VITORIA,A612,"24,5","23,63","37,3",-21,"0,23","78,6","2,2","5,62",-20.270833,-40.305833
2020-03-21,2379,00:00,ES,VITORIA,A612,"26,5","22,69","36,2","-35,4","0,64","84,69","1,58","4,2",-20.270833,-40.305833
2020-04-14,2955,00:00,ES,VITORIA,A612,"21,8","20,71","31,9","-34,8","0,21","78,76","1,94","4,92",-20.270833,-40.305833
2020-08-07,5715,00:00,ES,VITORIA,A612,NULL,"17,68","30,7","-43,3",0,"62,75","2,03","4,81",-20.270833,-40.305833
2020-10-13,7323,00:00,ES,VITORIA,A612,NULL,"23,59","38,6","-40,8","0,02","63,93","1,95","4,75",-20.270833,-40.305833
2020-12-09,8691,00:00,ES,VITORIA,A612,"25,6","22,73","34,9","-16,8","0,58","80,46","1,52","4,18",-20.270833,-40.305833
2021-02-21,450,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"23,53","36,4","-30,7","0,37","77,81","1,8","4,77",-20.909892,-47.114259
2020-11-27,8403,00:00,ES,VITORIA,A612,NULL,"23,74","37,4","-23,8","0,02","66,46","2,01","4,98",-20.270833,-40.305833
2020-02-23,1731,00:00,ES,VITORIA,A612,"25,4","21,67","34,8","-30,2","0,31","81,55","2,02","5,03",-20.270833,-40.305833
2020-09-17,6699,00:00,ES,VITORIA,A612,"19,7","23,81",39,"-27,7",0,"52,79","1,83","4,7",-20.270833,-40.305833
2021-04-26,1986,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"22,15","34,9","-43,9","0,02","69,49","1,27","3,31",-20.909892,-47.114259
2020-05-21,3843,00:00,ES,VITORIA,A612,NULL,"19,67","31,4",-38,0,"73,38","1,77","4,22",-20.270833,-40.305833
2020-06-28,4755,00:00,ES,VITORIA,A612,NULL,"17,93","31,8","-35,8","0,02","76,23","1,64","4,17",-20.270833,-40.305833
2021-02-01,2850,00:00,SP,BRAGANCA PAULISTA,A744,22,"24,75","38,9","-19,3","0,11","67,55","1,83","4,72",-22.951944,-46.530556
2020-01-10,675,00:00,ES,VITORIA,A612,"25,9","25,34","36,4","-14,3","0,12","75,48","1,51","4,06",-20.270833,-40.305833
2020-03-03,1947,00:00,ES,VITORIA,A612,"22,8","21,78","35,7","-24,7","0,39","82,53","1,63","4,26",-20.270833,-40.305833
2020-08-23,6099,00:00,ES,VITORIA,A612,NULL,"15,95","34,2","-45,9","0,03","73,29","2,52","5,9",-20.270833,-40.305833
2020-12-20,171,00:00,MG,BURITIS,A544,"25,2","24,72","37,6","-15,7","0,43","75,37","1,7","4,64",-15.524167,-46.435556
2020-02-27,1827,00:00,ES,VITORIA,A612,"27,8","22,81",38,"-36,9","0,53","82,69","1,85","4,9",-20.270833,-40.305833
2020-04-20,3099,00:00,ES,VITORIA,A612,21,"20,73","31,1","-28,6","0,01","75,28","1,53","3,87",-20.270833,-40.305833
2020-07-29,5499,00:00,ES,VITORIA,A612,NULL,"19,97","33,3","-46,7","0,03","65,52","1,75","4,45",-20.270833,-40.305833
2020-11-05,7875,00:00,ES,VITORIA,A612,"21,3","20,69","35,1",-27,"0,07","70,1","1,78","4,71",-20.270833,-40.305833
2021-03-14,954,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"23,45","35,7","-34,5","0,13","72,91","1,59","4,13",-20.909892,-47.114259
2020-02-19,1635,00:00,ES,VITORIA,A612,27,"24,78",38,"-22,5","0,13","74,83","1,77","4,62",-20.270833,-40.305833
2021-01-22,2610,00:00,SP,BRAGANCA PAULISTA,A744,"21,8","24,15","35,4","-24,2","0,04","66,01","2,06","5,13",-22.951944,-46.530556
2021-02-06,90,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"22,25","34,5",-20,"0,77","81,75","1,78","4,82",-20.909892,-47.114259
2021-03-12,906,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"24,03","35,6","-33,7","0,1","74,18","1,4","3,85",-20.909892,-47.114259
2020-10-09,7227,00:00,ES,VITORIA,A612,"25,7","24,99","42,9","-41,3","0,2","63,44","1,96","5,21",-20.270833,-40.305833
2020-04-09,2835,00:00,ES,VITORIA,A612,"22,3","20,54","31,2",-38,"0,18","79,02","1,71","4,34",-20.270833,-40.305833
2020-07-28,5475,00:00,ES,VITORIA,A612,NULL,"20,49","36,7","-45,2",0,"63,3","1,83","4,55",-20.270833,-40.305833
2020-11-10,7995,00:00,ES,VITORIA,A612,NULL,"23,16","36,6","-25,5","0,28","74,31","1,83","4,7",-20.270833,-40.305833
2020-09-13,6603,00:00,ES,VITORIA,A612,"21,6","23,32","38,1","-41,3",0,"50,91","2,4","5,66",-20.270833,-40.305833
